clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id
feature security,Feature Security,Feature Security,1,1,ENG,1,ENG-050,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
feature shedding,Feature Shedding,Feature Shedding,1,1,ENG,1,ENG-073,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
feature show,feature:show,feature:show,1,1,ENG,1,ENG-050,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
feature snapshot,Feature Snapshot,Feature Snapshot,1,1,ENG,1,ENG-050,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
feature snapshot manager,Feature Snapshot Manager,Feature Snapshot Manager,1,1,ENG,1,ENG-050,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
feature stale,feature:stale,feature:stale,1,1,ENG,1,ENG-050,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
feature state,Feature State,Feature State,1,1,ENG,1,ENG-050,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
feature targeting,Feature Targeting,Feature Targeting,1,1,ENG,1,ENG-050,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
feature toggle,Feature Toggle,Feature Toggle,1,1,ENG,1,ENG-050,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
feature type,Feature Type,Feature Type,1,1,ENG,1,ENG-050,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
